PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Standard Type,Standard Relation,Standard Value,Standard Units
,,,STRING,STRING,FLOAT,STRING
,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
103163765,4893,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,F,=,68,%
103163904,2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,F,=,70,%
103164240,3696,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,F,=,42,%
103164353,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,F,=,100,%
103164546,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,F,=,90,%
103164548,5284616,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,F,=,14,%
103164549,445643,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,F,=,17,%
103164817,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,F,=,63,%
103164872,39186,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,F,=,40,%
103164874,2244,CC(=O)OC1=CC=CC=C1C(=O)O,F,=,68,%
103165163,5904,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,F,=,22.5,%
103165167,2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,F,=,60,%
103165320,152946,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,F,=,90,%
103165376,9571107,CO/N=C/1\CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F,F,=,71,%
103165561,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,F,=,71,%
103165722,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,F,=,96,%
103165765,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,F,=,55,%
103165964,2802,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,F,=,90,%
103167216,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,F,=,60,%
103167682,4463,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,F,=,93,%
103167825,16078,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,F,=,15,%
103168335,156294,CC(C)N(CC[C@@](C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,F,=,83,%
103168357,156295,CC(C)N(CC[C@](C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,F,=,83,%
103168790,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,F,=,95,%
103168867,6468,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,F,=,72,%
