PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103163765,4893,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,Unspecified,,,,F,=,79,%
2,103163840,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Unspecified,,,,F,>,80,%
3,103164209,4184,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,Unspecified,,,,F,=,49,%
4,103164270,3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,Unspecified,,,,F,<,20,%
5,103164353,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Unspecified,,,,F,>,80,%
6,103164420,4171,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,Unspecified,,,,F,=,49,%
7,103164453,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,Unspecified,,,,F,<=,20,%
8,103164546,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,Unspecified,,,,F,>,80,%
9,103164817,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Unspecified,,,,F,>,80,%
10,103164854,323,C1=CC=C2C(=C1)C=CC(=O)O2,Unspecified,,,,F,<,20,%
11,103164874,2244,CC(=O)OC1=CC=CC=C1C(=O)O,Unspecified,,,,F,=,79,%
12,103164936,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Unspecified,,,,F,>,80,%
13,103164944,338,C1=CC=C(C(=C1)C(=O)O)O,Unspecified,,,,F,>=,80,%
14,103165644,5215,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,F,>=,80,%
15,103165713,444795,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,Unspecified,,,,F,=,49,%
16,103165722,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Unspecified,,,,F,>,80,%
17,103165728,3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,Unspecified,,,,F,=,79,%
18,103165751,5329,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,F,>=,80,%
19,103165765,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Unspecified,,,,F,=,79,%
20,103165766,4543,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,Unspecified,,,,F,=,79,%
21,103165869,2164,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,Unspecified,,,,F,>=,80,%
22,103165870,3608,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2,Unspecified,,,,F,>=,80,%
23,103165933,2712,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,Unspecified,,,,F,>,80,%
24,103165964,2802,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,Unspecified,,,,F,>,80,%
25,103165982,5344,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,Unspecified,,,,F,>,80,%
26,103166445,3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,Unspecified,,,,F,>=,80,%
27,103166621,4595,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,Unspecified,,,,F,=,79,%
28,103167216,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Unspecified,,,,F,=,79,%
29,103167682,4463,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,Unspecified,,,,F,>=,80,%
30,103167825,16078,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,Unspecified,,,,F,<,20,%
31,103167911,681,C1=CC(=C(C=C1CCN)O)O,Unspecified,,,,F,<,20,%
32,103168230,3767,C1=CN=CC=C1C(=O)NN,Unspecified,,,,F,>,80,%
33,103168363,3826,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,Unspecified,,,,F,>=,80,%
