chembl_id,smiles,hob,mw,logp,hacc,hdon,tpsa,nrot,mr,num_rings,aromatic_rings,ro5_violations,drug_name,max_phase,measurement_type,original_value,original_units,validation_reason
CHEMBL4874698,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1,150.0,558.44,4.89,5,2,105.75,8,139.81,5,3,1,,,F,150.0,%,Clear HOB type + PK context
CHEMBL4848062,COc1nc(C2=NOC(C3CC3)C(c3ccc(Cl)cc3)N2)ccc1-n1cnc(C)c1,113.0,423.9,4.04,7,1,73.56,5,114.11,5,3,0,,,F,113.0,%,Clear HOB type + PK context
CHEMBL2325014,Nc1[nH]ncc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,110.0,500.36,5.15,7,3,122.99,6,117.85,4,4,2,PF-05089771,2.0,F,110.0,%,Clear HOB type + PK context
CHEMBL2324776,O=S(=O)(Nc1nncs1)c1cc(Cl)c(Oc2ccc(C(F)(F)F)cc2-c2ccnnc2)cc1F,101.0,531.9,5.4,8,1,106.96,6,114.67,4,4,2,,,F,101.0,%,Clear HOB type + PK context
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,100.0,197.19,0.05,4,4,103.78,3,49.09,1,1,0,LEVODOPA,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL1222250,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,100.0,180.16,-3.22,6,5,110.38,1,35.99,1,0,0,DEXTROSE,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL2409514,Cc1ccnc(NS(=O)(=O)c2ccc3nc(-c4ccccc4)c(-c4ccccc4)nc3c2)c1,100.0,452.54,5.47,5,1,84.84,5,130.19,5,5,1,,,F,100.0,%,Clear HOB type + PK context
CHEMBL301523,N[C@@H](Cc1ccccc1)C(=O)O,100.0,165.19,0.64,2,2,63.32,3,45.76,1,1,0,PHENYLALANINE,3.0,F,100.0,%,Clear HOB type + PK context
CHEMBL288470,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,100.0,231.3,1.55,4,0,30.17,2,70.07,2,2,0,AMINOPYRINE,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL810,Cn1nnc2c(C(N)=O)ncn2c1=O,100.0,194.15,-2.08,7,1,108.17,1,44.54,2,2,0,TEMOZOLOMIDE,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL291962,CC(C)C[C@H](N)C(=O)O,100.0,131.18,0.44,2,2,63.32,3,35.07,0,0,0,LEUCINE,3.0,F,100.0,%,Clear HOB type + PK context
CHEMBL2409513,O=S(=O)(Nc1ccccn1)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,100.0,438.51,5.16,5,1,84.84,5,125.46,5,5,1,,,F,100.0,%,Clear HOB type + PK context
CHEMBL1481,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,100.0,490.63,3.07,5,3,124.68,7,128.52,3,1,0,GLIMEPIRIDE,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL53292,Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,100.0,335.34,1.48,6,2,112.74,2,80.81,3,2,0,ISOXICAM,4.0,F,100.0,%,Clear HOB type + PK context
CHEMBL2409505,O=S(=O)(Nc1ccc2ccccc2c1)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,100.0,487.58,6.92,4,1,71.95,5,145.17,6,6,1,,,F,100.0,%,Clear HOB type + PK context
CHEMBL2409504,O=S(=O)(Nc1cccc2ccccc12)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1,100.0,487.58,6.92,4,1,71.95,5,145.17,6,6,1,,,F,100.0,%,Clear HOB type + PK context
CHEMBL2409503,O=C(NS(=O)(=O)c1ccc2nc(-c3ccccc3)c(-c3ccccc3)nc2c1)c1ccccc1,100.0,465.53,5.08,5,1,89.02,5,131.5,5,5,1,,,F,100.0,%,Clear HOB type + PK context
